,filename,subject_id,timestamp,back_x,back_y,back_z,thigh_x,thigh_y,thigh_z,label
0,S006,1,2019-01-12 00:00:00.000,-0.76,0.3,0.469,-5.093,-0.299,0.709,inactive
1,S006,1,2019-01-12 00:00:00.010,-0.53,0.282,0.32,0.901,0.287,0.34,inactive
2,S006,1,2019-01-12 00:00:00.020,-1.171,0.186,-0.167,-0.035,-0.078,-0.515,inactive
3,S006,1,2019-01-12 00:00:00.030,-0.649,0.017,-0.054,-1.554,-0.951,-0.221,inactive
4,S006,1,2019-01-12 00:00:00.040,-0.355,-0.052,-0.113,-0.547,0.141,-0.654,inactive
5,S006,1,2019-01-12 00:00:00.050,-0.38,-0.096,-0.024,-0.952,0.232,-0.436,inactive
6,S006,1,2019-01-12 00:00:00.060,-1.187,-0.006,0.057,-0.521,0.155,-0.232,inactive
7,S006,1,2019-01-12 00:00:00.070,-1.73,0.051,0.018,-1.418,-0.081,-0.057,inactive
8,S006,1,2019-01-12 00:00:00.080,-0.841,0.13,0.122,-0.955,-0.294,-0.185,inactive
9,S006,1,2019-01-12 00:00:00.090,-1.16,0.33,0.14,-1.127,0.252,-0.346,inactive
10,S006,1,2019-01-12 00:00:00.100,-0.805,0.152,0.189,-0.746,0.179,-0.378,inactive
11,S006,1,2019-01-12 00:00:00.110,-1.076,0.051,0.116,-1.03,-0.286,-0.255,inactive
12,S006,1,2019-01-12 00:00:00.120,-0.972,0.007,0.101,-0.969,-0.209,-0.136,inactive
13,S006,1,2019-01-12 00:00:00.130,-0.992,0.046,0.089,-1.141,0.034,-0.029,inactive
14,S006,1,2019-01-12 00:00:00.140,-0.925,0.083,0.086,-0.887,-0.011,-0.101,inactive
15,S006,1,2019-01-12 00:00:00.150,-1.011,0.085,0.085,-1.053,-0.035,-0.21,inactive
16,S006,1,2019-01-12 00:00:00.160,-0.946,0.076,0.102,-0.861,0.048,-0.352,inactive
17,S006,1,2019-01-12 00:00:00.170,-0.994,0.082,0.109,-0.981,0.015,-0.372,inactive
18,S006,1,2019-01-12 00:00:00.180,-0.976,0.076,0.095,-0.867,-0.089,-0.328,inactive
19,S006,1,2019-01-12 00:00:00.190,-1.02,0.093,0.087,-1.029,-0.064,-0.248,inactive
